startedAt;prod1-1:2.29.0;source;prod1-65:2.29.1;prod1-65:2.29.2;prod1-65:2.29.3;prod1-65:2.29.9
2025-04-02 02:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 02:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 03:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 03:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 03:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 03:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 04:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 04:15:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 04:30:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 04:45:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 05:00:00+00:00;0.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 05:15:00+00:00;0.192;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 05:30:00+00:00;0.672;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 05:45:00+00:00;1.232;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 06:00:00+00:00;1.792;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 06:15:00+00:00;2.352;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 06:30:00+00:00;2.904;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 06:45:00+00:00;3.44;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 07:00:00+00:00;4.0;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 07:15:00+00:00;4.512;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 07:30:00+00:00;4.952;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 07:45:00+00:00;5.336;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 08:00:00+00:00;5.696;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 08:15:00+00:00;6.112;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 08:30:00+00:00;6.464;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 08:45:00+00:00;6.8;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 09:00:00+00:00;7.076;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 09:15:00+00:00;7.352;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 09:30:00+00:00;7.556;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 09:45:00+00:00;7.704;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 10:00:00+00:00;7.78;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 10:15:00+00:00;7.864;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 10:30:00+00:00;7.748;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 10:45:00+00:00;7.816;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 11:00:00+00:00;7.736;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 11:15:00+00:00;7.072;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 11:30:00+00:00;6.36;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 11:45:00+00:00;5.712;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 12:00:00+00:00;6.124;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 12:15:00+00:00;5.06;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 12:30:00+00:00;7.216;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 12:45:00+00:00;6.692;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 13:00:00+00:00;5.34;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 13:15:00+00:00;5.864;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 13:30:00+00:00;5.628;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 13:45:00+00:00;5.276;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 14:00:00+00:00;4.664;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 14:15:00+00:00;4.208;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 14:30:00+00:00;3.632;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 14:45:00+00:00;3.296;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 15:00:00+00:00;2.54;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 15:15:00+00:00;1.964;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 15:30:00+00:00;1.248;df-prod-Véronique-1-1:2.29.0;;;;
2025-04-02 15:45:00+00:00;0.844;df-prod-Véronique-1-1:2.29.0;;;;
