startedAt;valueprodauto;valueprodauto
;df-prod-Gaby;df-prod-Véronique
2025-04-02 20:30:00+00:00;0.0;0.0
2025-04-02 20:45:00+00:00;0.0;0.0
2025-04-02 21:00:00+00:00;0.0;0.0
2025-04-02 21:15:00+00:00;0.0;0.0
2025-04-02 21:30:00+00:00;0.0;0.0
2025-04-02 21:45:00+00:00;0.0;0.0
2025-04-02 22:00:00+00:00;0.0;0.0
2025-04-02 22:15:00+00:00;0.0;0.0
2025-04-02 22:30:00+00:00;0.0;0.0
2025-04-02 22:45:00+00:00;0.0;0.0
2025-04-02 23:00:00+00:00;0.0;0.0
2025-04-02 23:15:00+00:00;0.0;0.0
2025-04-02 23:30:00+00:00;0.0;0.0
2025-04-02 23:45:00+00:00;0.0;0.0
2025-04-03 00:00:00+00:00;0.0;0.0
2025-04-03 00:15:00+00:00;0.0;0.0
2025-04-03 00:30:00+00:00;0.0;0.0
2025-04-03 00:45:00+00:00;0.0;0.0
2025-04-03 01:00:00+00:00;0.0;0.0
2025-04-03 01:15:00+00:00;0.0;0.0
2025-04-03 01:30:00+00:00;0.0;0.0
2025-04-03 01:45:00+00:00;0.0;0.0
2025-04-03 02:00:00+00:00;0.0;0.0
2025-04-03 02:15:00+00:00;0.0;0.0
2025-04-03 02:30:00+00:00;0.0;0.0
2025-04-03 02:45:00+00:00;0.0;0.0
2025-04-03 03:00:00+00:00;0.0;0.0
2025-04-03 03:15:00+00:00;0.0;0.0
2025-04-03 03:30:00+00:00;0.0;0.0
2025-04-03 03:45:00+00:00;0.0;0.0
2025-04-03 04:00:00+00:00;0.0;0.0
2025-04-03 04:15:00+00:00;0.0;0.0
2025-04-03 04:30:00+00:00;0.0;0.0
2025-04-03 04:45:00+00:00;0.0;0.0
2025-04-03 05:00:00+00:00;0.0;0.012
2025-04-03 05:15:00+00:00;0.0;0.152
2025-04-03 05:30:00+00:00;0.0;0.24
2025-04-03 05:45:00+00:00;0.028;0.268
2025-04-03 06:00:00+00:00;0.02;0.268
2025-04-03 06:15:00+00:00;0.1;1.22
2025-04-03 06:30:00+00:00;0.228;2.7
2025-04-03 06:45:00+00:00;0.332;0.224
2025-04-03 07:00:00+00:00;0.52;0.272
2025-04-03 07:15:00+00:00;0.848;0.348
2025-04-03 07:30:00+00:00;0.764;4.792
2025-04-03 07:45:00+00:00;0.716;1.912
2025-04-03 08:00:00+00:00;0.744;0.26
2025-04-03 08:15:00+00:00;0.768;0.308
2025-04-03 08:30:00+00:00;0.708;0.34
2025-04-03 08:45:00+00:00;0.96;6.112
2025-04-03 09:00:00+00:00;1.4;1.712
2025-04-03 09:15:00+00:00;2.504;0.78
2025-04-03 09:30:00+00:00;1.504;1.032
2025-04-03 09:45:00+00:00;1.4;0.988
2025-04-03 10:00:00+00:00;1.636;1.232
2025-04-03 10:15:00+00:00;1.3;2.68
2025-04-03 10:30:00+00:00;0.54;5.14
2025-04-03 10:45:00+00:00;0.76;0.488
2025-04-03 11:00:00+00:00;1.56;0.3
2025-04-03 11:15:00+00:00;0.872;3.872
2025-04-03 11:30:00+00:00;0.768;5.248
2025-04-03 11:45:00+00:00;1.208;5.376
2025-04-03 12:00:00+00:00;1.012;5.412
2025-04-03 12:15:00+00:00;1.324;5.34
2025-04-03 12:30:00+00:00;0.976;5.3
2025-04-03 12:45:00+00:00;2.508;5.3
2025-04-03 13:00:00+00:00;1.28;5.308
2025-04-03 13:15:00+00:00;0.736;5.564
2025-04-03 13:30:00+00:00;0.716;5.284
2025-04-03 13:45:00+00:00;0.512;4.904
2025-04-03 14:00:00+00:00;0.656;4.532
2025-04-03 14:15:00+00:00;0.744;4.104
2025-04-03 14:30:00+00:00;0.788;3.664
2025-04-03 14:45:00+00:00;0.556;3.132
2025-04-03 15:00:00+00:00;0.484;2.268
2025-04-03 15:15:00+00:00;0.568;1.5
2025-04-03 15:30:00+00:00;0.52;1.172
2025-04-03 15:45:00+00:00;0.548;0.804
2025-04-03 16:00:00+00:00;0.692;0.276
2025-04-03 16:15:00+00:00;0.66;0.256
2025-04-03 16:30:00+00:00;0.552;0.264
2025-04-03 16:45:00+00:00;0.476;0.264
2025-04-03 17:00:00+00:00;0.572;0.244
2025-04-03 17:15:00+00:00;0.756;0.176
2025-04-03 17:30:00+00:00;0.456;0.108
2025-04-03 17:45:00+00:00;0.028;0.04
2025-04-03 18:00:00+00:00;0.0;0.0
2025-04-03 18:15:00+00:00;0.0;0.0
2025-04-03 18:30:00+00:00;0.0;0.0
2025-04-03 18:45:00+00:00;0.0;0.0
2025-04-03 19:00:00+00:00;0.0;0.0
2025-04-03 19:15:00+00:00;0.0;0.0
2025-04-03 19:30:00+00:00;0.0;0.0
2025-04-03 19:45:00+00:00;0.0;0.0
2025-04-03 20:00:00+00:00;0.0;0.0
2025-04-03 20:15:00+00:00;0.0;0.0
2025-04-03 20:30:00+00:00;0.0;0.0
2025-04-03 20:45:00+00:00;0.0;0.0
2025-04-03 21:00:00+00:00;0.0;0.0
2025-04-03 21:15:00+00:00;0.0;0.0
2025-04-03 21:30:00+00:00;0.0;0.0
