startedAt;valueprodauto;source
2025-04-02 17:15:00+00:00;0.192;df-prod-Véronique
2025-04-02 17:30:00+00:00;0.128;df-prod-Véronique
2025-04-02 17:45:00+00:00;0.056;df-prod-Véronique
2025-04-02 18:00:00+00:00;0.004;df-prod-Véronique
2025-04-02 18:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 18:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 18:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 19:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 19:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 19:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 19:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 20:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 20:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 20:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 20:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 21:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 21:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 21:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 21:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 22:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 22:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 22:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 22:45:00+00:00;0.0;df-prod-Véronique
2025-04-02 23:00:00+00:00;0.0;df-prod-Véronique
2025-04-02 23:15:00+00:00;0.0;df-prod-Véronique
2025-04-02 23:30:00+00:00;0.0;df-prod-Véronique
2025-04-02 23:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 00:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 00:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 00:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 00:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 01:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 01:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 01:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 01:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 02:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 02:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 02:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 02:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 03:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 03:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 03:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 03:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 04:00:00+00:00;0.0;df-prod-Véronique
2025-04-03 04:15:00+00:00;0.0;df-prod-Véronique
2025-04-03 04:30:00+00:00;0.0;df-prod-Véronique
2025-04-03 04:45:00+00:00;0.0;df-prod-Véronique
2025-04-03 05:00:00+00:00;0.012;df-prod-Véronique
2025-04-03 05:15:00+00:00;0.152;df-prod-Véronique
2025-04-03 05:30:00+00:00;0.24;df-prod-Véronique
2025-04-03 05:45:00+00:00;0.268;df-prod-Véronique
2025-04-03 06:00:00+00:00;0.268;df-prod-Véronique
2025-04-03 06:15:00+00:00;1.22;df-prod-Véronique
2025-04-03 06:30:00+00:00;2.7;df-prod-Véronique
2025-04-03 06:45:00+00:00;0.224;df-prod-Véronique
2025-04-03 07:00:00+00:00;0.272;df-prod-Véronique
2025-04-03 07:15:00+00:00;0.348;df-prod-Véronique
2025-04-03 07:30:00+00:00;4.792;df-prod-Véronique
2025-04-03 07:45:00+00:00;1.912;df-prod-Véronique
2025-04-03 08:00:00+00:00;0.26;df-prod-Véronique
2025-04-03 08:15:00+00:00;0.308;df-prod-Véronique
2025-04-03 08:30:00+00:00;0.34;df-prod-Véronique
2025-04-03 08:45:00+00:00;6.112;df-prod-Véronique
2025-04-03 09:00:00+00:00;1.712;df-prod-Véronique
2025-04-03 09:15:00+00:00;0.78;df-prod-Véronique
2025-04-03 09:30:00+00:00;1.032;df-prod-Véronique
2025-04-03 09:45:00+00:00;0.988;df-prod-Véronique
2025-04-03 10:00:00+00:00;1.232;df-prod-Véronique
2025-04-03 10:15:00+00:00;2.68;df-prod-Véronique
2025-04-03 10:30:00+00:00;5.14;df-prod-Véronique
2025-04-03 10:45:00+00:00;0.488;df-prod-Véronique
2025-04-03 11:00:00+00:00;0.3;df-prod-Véronique
2025-04-03 11:15:00+00:00;3.872;df-prod-Véronique
2025-04-03 11:30:00+00:00;5.248;df-prod-Véronique
2025-04-03 11:45:00+00:00;5.376;df-prod-Véronique
2025-04-03 12:00:00+00:00;5.412;df-prod-Véronique
2025-04-03 12:15:00+00:00;5.34;df-prod-Véronique
2025-04-03 12:30:00+00:00;5.3;df-prod-Véronique
