startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodauto;valueprodauto;valueprodshared;valueprodshared
;df-prod-Gaby_Prod;df-prod-MarcSud;df-prod-Véronique-Prod;df-prod-Gaby-Autocons;df-prod-Véronique-Autocons;df-prod-Gaby-Comm;df-prod-Véronique-Comm
2025-03-02 22:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 22:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 22:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 22:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 23:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 23:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 23:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-02 23:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 00:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 00:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 00:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 00:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 01:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 01:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 01:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 01:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 02:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 02:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 02:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 02:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 03:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 03:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 03:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 03:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 04:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 04:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 04:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 04:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 05:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 05:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 05:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 05:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 06:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 06:15:00+00:00;0.0;0.068;0.324;;0.324;;0.0
2025-03-03 06:30:00+00:00;0.0;0.592;1.312;;1.312;;0.0
2025-03-03 06:45:00+00:00;0.0;1.048;2.06;;2.06;;0.0
2025-03-03 07:00:00+00:00;0.012;1.588;2.7;;2.384;;0.316
2025-03-03 07:15:00+00:00;0.056;2.092;3.292;;3.292;;0.0
2025-03-03 07:30:00+00:00;0.492;2.488;3.832;;2.828;;1.004
2025-03-03 07:45:00+00:00;0.936;2.864;4.328;;2.764;;1.564
2025-03-03 08:00:00+00:00;1.488;3.224;4.716;;2.74;;1.976
2025-03-03 08:15:00+00:00;2.264;3.58;5.144;;3.98;;1.164
2025-03-03 08:30:00+00:00;2.932;3.888;5.496;;3.16;;2.336
2025-03-03 08:45:00+00:00;3.652;4.208;5.868;;0.236;;2.564
2025-03-03 09:00:00+00:00;4.272;4.476;6.132;;0.248;;1.932
2025-03-03 09:15:00+00:00;4.924;4.708;6.364;;0.264;;1.652
2025-03-03 09:30:00+00:00;5.572;4.9;6.556;;0.256;;3.356
2025-03-03 09:45:00+00:00;6.172;5.064;6.712;;0.244;;2.44
2025-03-03 10:00:00+00:00;6.724;5.196;6.88;;0.296;;1.96
2025-03-03 10:15:00+00:00;7.244;5.292;6.964;;5.036;;1.928
2025-03-03 10:30:00+00:00;7.664;5.328;6.94;;2.268;;2.468
2025-03-03 10:45:00+00:00;8.016;5.38;6.956;;0.3;;3.828
2025-03-03 11:00:00+00:00;8.352;5.38;6.94;;0.26;;3.65
2025-03-03 11:15:00+00:00;8.656;5.348;6.888;;0.236;;1.841
2025-03-03 11:30:00+00:00;8.884;5.316;6.796;;0.248;;2.912
2025-03-03 11:45:00+00:00;9.112;5.312;6.74;;0.288;;2.872
2025-03-03 12:00:00+00:00;9.276;5.188;6.564;;0.276;;2.336
2025-03-03 12:15:00+00:00;9.32;5.028;6.348;;0.248;;1.723
2025-03-03 12:30:00+00:00;9.444;4.916;6.176;;0.232;;2.201
2025-03-03 12:45:00+00:00;9.488;4.736;5.916;;0.268;;1.294
2025-03-03 13:00:00+00:00;9.496;4.552;5.644;;0.288;;1.895
2025-03-03 13:15:00+00:00;9.416;4.348;5.356;;0.272;;2.72
2025-03-03 13:30:00+00:00;9.308;4.084;4.988;;0.232;;1.412
2025-03-03 13:45:00+00:00;9.108;3.768;4.564;;0.24;;1.472
2025-03-03 14:00:00+00:00;8.848;3.452;3.964;;0.276;;3.16
2025-03-03 14:15:00+00:00;8.544;3.116;3.496;;0.288;;3.208
2025-03-03 14:30:00+00:00;8.128;2.76;2.936;;0.256;;2.68
2025-03-03 14:45:00+00:00;7.736;2.4;2.356;;0.232;;2.124
2025-03-03 15:00:00+00:00;7.252;2.016;1.748;;0.256;;1.492
2025-03-03 15:15:00+00:00;6.712;1.62;1.304;;0.84;;0.464
2025-03-03 15:30:00+00:00;6.124;1.244;0.892;;0.892;;0.0
2025-03-03 15:45:00+00:00;5.456;0.88;0.544;;0.544;;0.0
2025-03-03 16:00:00+00:00;4.696;0.548;0.316;;0.316;;0.0
2025-03-03 16:15:00+00:00;3.828;0.272;0.224;;0.224;;0.0
2025-03-03 16:30:00+00:00;2.816;0.116;0.172;;0.172;;0.0
2025-03-03 16:45:00+00:00;1.696;0.056;0.116;;0.116;;0.0
2025-03-03 17:00:00+00:00;0.148;0.012;0.044;;0.044;;0.0
2025-03-03 17:15:00+00:00;0.0;0.0;0.004;;0.004;;0.0
2025-03-03 17:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 17:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 18:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 18:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 18:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 18:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 19:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 19:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 19:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 19:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 20:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 20:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 20:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 20:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 21:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 21:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 21:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 21:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 22:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 22:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 22:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 22:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 23:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 23:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 23:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-03 23:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 00:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 00:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 00:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 00:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 01:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 01:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 01:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 01:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 02:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 02:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 02:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 02:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 03:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 03:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 03:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 03:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 04:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 04:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 04:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 04:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 05:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 05:15:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 05:30:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 05:45:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 06:00:00+00:00;0.0;0.0;0.0;;0.0;;0.0
2025-03-04 06:15:00+00:00;0.0;0.076;0.14;;0.14;;0.0
2025-03-04 06:30:00+00:00;0.064;0.384;0.668;;0.668;;0.0
2025-03-04 06:45:00+00:00;0.328;1.232;2.056;;0.292;;1.764
2025-03-04 07:00:00+00:00;0.484;1.132;1.764;;1.764;;0.0
2025-03-04 07:15:00+00:00;0.76;1.468;2.244;;2.244;;0.0
2025-03-04 07:30:00+00:00;1.108;1.868;2.764;;0.276;;2.488
2025-03-04 07:45:00+00:00;1.436;2.152;3.216;;3.216;;0.0
2025-03-04 08:00:00+00:00;2.124;3.292;4.776;;3.72;;1.056
2025-03-04 08:15:00+00:00;2.532;3.44;4.88;;0.36;;3.708
2025-03-04 08:30:00+00:00;2.956;3.64;5.116;;0.348;;2.432
2025-03-04 08:45:00+00:00;3.368;3.704;5.176;;0.364;;1.996
2025-03-04 09:00:00+00:00;4.112;4.136;5.672;;0.764;;2.904
2025-03-04 09:15:00+00:00;4.972;4.58;6.18;;6.18;;0.0
2025-03-04 09:30:00+00:00;5.752;4.856;6.488;;0.36;;1.808
2025-03-04 09:45:00+00:00;6.4;5.1;6.752;;0.328;;1.628
2025-03-04 10:00:00+00:00;6.632;4.964;6.576;;0.344;;1.656
2025-03-04 10:15:00+00:00;6.832;4.956;6.516;;0.344;;2.952
2025-03-04 10:30:00+00:00;6.968;4.82;6.32;;0.552;;3.808
