startedAt,prod_Véronique_1-1:2.29.0,prod_Marc_1-1:2.29.0,prod_Gaby_1-1:2.29.0,prod_Pit_1-1:2.29.0,prod_Madalin_1-1:2.29.0,prod_Véronique_1-65:2.29.1,prod_Véronique_1-65:2.29.2,prod_Marc_1-65:2.29.2,prod_Gaby_1-65:2.29.2,prod_Pit_1-65:2.29.2,prod_Madalin_1-65:2.29.2,prod_Gaby_1-65:2.29.3,prod_Véronique_1-65:2.29.4,prod_Marc_1-65:2.29.4,prod_Gaby_1-65:2.29.4,prod_Pit_1-65:2.29.4,prod_Madalin_1-65:2.29.4,prod_Véronique_1-65:2.29.9,prod_Marc_1-65:2.29.9,prod_Gaby_1-65:2.29.9,prod_Pit_1-65:2.29.9,prod_Madalin_1-65:2.29.9,cons_Sebastien_1-1:1.29.0,cons_Jessica_1-1:1.29.0,cons_Sebastien_1-65:1.29.4,cons_Jessica_1-65:1.29.4,cons_Sebastien_1-65:1.29.8,cons_Jessica_1-65:1.29.8,cons_Sebastien_1-65:1.29.9,cons_Jessica_1-65:1.29.9,sum_1-1:2.29.0,sum_1-65:2.29.1,sum_1-65:2.29.2,sum_1-65:2.29.3,sum_1-65:2.29.4,sum_1-65:2.29.9,sum_1-1:1.29.0,sum_1-65:1.29.4,sum_1-65:1.29.8,sum_1-65:1.29.9
2025-06-01 05:00:00+00:00,0.428,0.0,0.392,0.0,0.056,0.428,0.0,0.0,0.012,0.0,0.056,0.38,,,,,,0.0,0.0,,0.0,0.0,0.132,0.072,,,,,,,0.8760000000000001,0.428,0.068,0.38,0.0,0.0,0.20400000000000001,0.0,0.0,0.0
2025-06-01 05:15:00+00:00,0.428,0.0,0.44,0.0,0.132,0.268,0.16,0.0,0.0,0.0,0.132,0.44,,,,,,0.0,0.0,,0.0,0.0,0.112,0.072,,,,,,,1.0,0.268,0.29200000000000004,0.44,0.0,0.0,0.184,0.0,0.0,0.0
2025-06-01 05:30:00+00:00,0.544,0.0,0.608,0.0,0.284,0.292,0.252,0.0,0.0,0.0,0.112,0.608,,,,,,0.0,0.0,,0.0,0.172,0.052,0.104,,,,,,,1.4360000000000002,0.292,0.364,0.608,0.0,0.172,0.156,0.0,0.0,0.0
2025-06-01 05:45:00+00:00,0.972,0.028,1.092,0.0,0.584,0.504,0.301,0.018,0.361,0.0,0.112,0.532,,,,,,0.167,0.01,,0.0,0.472,0.112,0.168,,,,,,,2.676,0.504,0.7919999999999999,0.532,0.0,0.649,0.28,0.0,0.0,0.0
2025-06-01 06:00:00+00:00,1.888,0.128,1.984,0.0,1.488,1.888,0.0,0.128,1.068,0.0,0.112,0.916,,,,,,0.0,0.0,,0.0,1.376,0.296,0.164,,,,,,,5.4879999999999995,1.888,1.3080000000000003,0.916,0.0,1.376,0.45999999999999996,0.0,0.0,0.0
2025-06-01 06:15:00+00:00,1.856,0.152,1.772,0.0,1.424,1.476,0.38,0.152,0.0,0.0,0.116,1.772,,,,,,0.0,0.0,,0.0,1.308,0.156,0.16,,,,,,,5.204000000000001,1.476,0.648,1.772,0.0,1.308,0.316,0.0,0.0,0.0
2025-06-01 06:30:00+00:00,2.036,0.204,2.048,0.012,1.632,0.328,0.235,0.028,0.207,0.002,0.16,0.54,,,,,,1.473,0.176,,0.01,1.472,0.056,0.1,,,,,,,5.9319999999999995,0.328,0.632,0.54,0.0,3.1310000000000002,0.156,0.0,0.0,0.0
2025-06-01 06:45:00+00:00,1.44,0.1,1.86,0.004,1.108,0.38,0.192,0.018,0.241,0.001,0.132,0.532,,,,,,0.868,0.082,,0.003,0.976,0.128,0.108,,,,,,,4.5120000000000005,0.38,0.584,0.532,0.0,1.9289999999999998,0.236,0.0,0.0,0.0
2025-06-01 07:00:00+00:00,1.236,0.04,1.52,0.052,0.896,1.236,0.0,0.04,1.168,0.052,0.128,0.352,,,,,,0.0,0.0,,0.0,0.768,0.124,0.148,,,,,,,3.744,1.236,1.388,0.352,0.0,0.768,0.272,0.0,0.0,0.0
2025-06-01 07:15:00+00:00,0.808,0.0,1.164,0.048,0.612,0.808,0.0,0.0,0.0,0.048,0.128,1.164,,,,,,0.0,0.0,,0.0,0.484,0.06,0.136,,,,,,,2.632,0.808,0.176,1.164,0.0,0.484,0.196,0.0,0.0,0.0
2025-06-01 07:30:00+00:00,0.892,0.0,1.248,0.012,0.7,0.892,0.0,0.0,0.0,0.012,0.156,1.248,,,,,,0.0,0.0,,0.0,0.544,0.12,0.172,,,,,,,2.8520000000000003,0.892,0.168,1.248,0.0,0.544,0.292,0.0,0.0,0.0
2025-06-01 07:45:00+00:00,1.012,0.0,1.42,0.0,0.876,1.012,0.0,0.0,0.0,0.0,0.136,1.42,,,,,,0.0,0.0,,0.0,0.74,0.124,0.532,,,,,,,3.308,1.012,0.136,1.42,0.0,0.74,0.656,0.0,0.0,0.0
2025-06-01 08:00:00+00:00,0.76,0.0,1.02,0.0,0.464,0.76,0.0,0.0,0.0,0.0,0.128,1.02,,,,,,0.0,0.0,,0.0,0.336,0.124,0.244,,,,,,,2.244,0.76,0.128,1.02,0.0,0.336,0.368,0.0,0.0,0.0
2025-06-01 08:15:00+00:00,1.024,0.0,1.336,0.0,0.724,1.024,0.0,0.0,0.636,0.0,0.264,0.7,,,,,,0.0,0.0,,0.0,0.46,0.08,0.636,,,,,,,3.0840000000000005,1.024,0.9,0.7,0.0,0.46,0.716,0.0,0.0,0.0
2025-06-01 08:30:00+00:00,1.636,0.136,2.364,0.0,1.472,0.308,0.386,0.04,0.478,0.0,0.172,0.72,,,,,,0.942,0.096,,0.0,1.3,0.052,0.24,,,,,,,5.607999999999999,0.308,1.0759999999999998,0.72,0.0,2.338,0.292,0.0,0.0,0.0
