startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodnet
;df-prod-Gaby;df-prod-MarcNord;df-prod-MarcSud;df-prod-Véronique
2025-04-04 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 05:00:00+00:00;0.0;0.0;0.008;0.032
2025-04-04 05:15:00+00:00;0.0;0.0;0.148;0.38
2025-04-04 05:30:00+00:00;0.0;0.0;0.412;0.928
2025-04-04 05:45:00+00:00;0.02;0.0;0.764;1.496
2025-04-04 06:00:00+00:00;0.052;0.0;1.168;2.08
2025-04-04 06:15:00+00:00;0.104;0.0;1.596;2.652
2025-04-04 06:30:00+00:00;0.12;0.0;2.028;3.2
2025-04-04 06:45:00+00:00;0.208;0.0;2.452;3.724
2025-04-04 07:00:00+00:00;0.472;0.0;2.864;4.208
2025-04-04 07:15:00+00:00;0.884;0.0;3.248;4.636
2025-04-04 07:30:00+00:00;1.32;0.0;3.62;5.04
2025-04-04 07:45:00+00:00;1.836;0.0;3.972;5.384
2025-04-04 08:00:00+00:00;2.38;0.0;4.32;5.768
2025-04-04 08:15:00+00:00;2.928;0.012;4.636;6.16
2025-04-04 08:30:00+00:00;3.46;0.1;4.892;6.468
2025-04-04 08:45:00+00:00;3.964;0.044;5.124;6.732
2025-04-04 09:00:00+00:00;4.428;0.024;5.34;7.004
2025-04-04 09:15:00+00:00;4.888;0.024;5.548;7.208
2025-04-04 09:30:00+00:00;5.312;0.02;5.696;7.34
2025-04-04 09:45:00+00:00;5.72;0.024;5.876;7.492
2025-04-04 10:00:00+00:00;6.008;0.016;5.936;7.524
2025-04-04 10:15:00+00:00;6.34;0.028;6.04;7.588
2025-04-04 10:30:00+00:00;6.62;0.024;6.092;7.568
2025-04-04 10:45:00+00:00;6.832;0.02;6.104;7.532
2025-04-04 11:00:00+00:00;6.976;0.012;6.072;7.432
2025-04-04 11:15:00+00:00;7.176;0.012;6.06;7.36
2025-04-04 11:30:00+00:00;7.36;0.016;6.004;7.248
2025-04-04 11:45:00+00:00;7.488;0.0;5.908;7.136
2025-04-04 12:00:00+00:00;7.544;0.0;5.804;6.984
2025-04-04 12:15:00+00:00;7.616;0.024;5.668;6.792
2025-04-04 12:30:00+00:00;7.692;0.008;5.508;6.588
2025-04-04 12:45:00+00:00;7.656;0.036;5.316;6.328
2025-04-04 13:00:00+00:00;7.588;0.0;5.072;5.996
2025-04-04 13:15:00+00:00;7.504;0.0;4.816;5.672
2025-04-04 13:30:00+00:00;7.416;0.0;4.576;5.34
2025-04-04 13:45:00+00:00;7.24;0.0;4.284;4.944
2025-04-04 14:00:00+00:00;7.128;0.088;3.996;4.568
2025-04-04 14:15:00+00:00;6.908;0.06;3.664;4.14
2025-04-04 14:30:00+00:00;6.7;0.02;3.34;3.692
2025-04-04 14:45:00+00:00;6.416;0.024;2.976;3.184
2025-04-04 15:00:00+00:00;6.108;0.02;2.608;2.432
2025-04-04 15:15:00+00:00;5.752;0.024;2.224;1.92
2025-04-04 15:30:00+00:00;5.352;0.024;1.808;1.144
2025-04-04 15:45:00+00:00;4.944;0.02;1.352;0.74
2025-04-04 16:00:00+00:00;4.516;0.024;0.876;0.456
2025-04-04 16:15:00+00:00;4.024;0.024;0.552;0.336
2025-04-04 16:30:00+00:00;3.48;0.02;0.396;0.296
2025-04-04 16:45:00+00:00;2.904;0.02;0.228;0.264
2025-04-04 17:00:00+00:00;2.272;0.02;0.136;0.224
2025-04-04 17:15:00+00:00;1.608;0.028;0.1;0.176
2025-04-04 17:30:00+00:00;0.94;0.02;0.064;0.124
2025-04-04 17:45:00+00:00;0.072;0.02;0.024;0.056
2025-04-04 18:00:00+00:00;0.0;0.0;0.0;0.004
2025-04-04 18:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 18:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 18:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 19:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 19:15:00+00:00;0.0;0.0;0.0;0.0
